"","Sample","Mouse","Treatment_des","Date","reads_pre_filt","reads_post_filt","host_percent"
"1","C01M1OP","C01M1","Optimal","02/10/2020",62603190,61689526,3.92
"2","C01M1HT","C01M1","Heat","19/10/2020",34750768,34215744,5.3
"3","C01M1HR","C01M1","Heat_rest","25/10/2020",20047606,19867144,1.41
"4","C01M1CD","C01M1","Cold","04/11/2020",10577070,10464940,0.06
"5","C01M1CR","C01M1","Cold_rest","10/11/2020",19459182,19279430,0.38
"6","C01M1DT","C01M1","Diet","17/11/2020",19104490,18919856,0.52
"7","C01M1DR","C01M1","Diet Rest","23/11/2020",24750336,24500366,0.08
"8","C03M1OP","C03M1","Optimal","02/10/2020",38882730,37511120,12.76
"9","C03M1HT","C03M1","Heat","19/10/2020",43975322,42692936,7.48
"10","C03M1HR","C03M1","Heat_rest","25/10/2020",26486038,25834078,0.77
"11","C03M1CD","C03M1","Cold","04/11/2020",23298030,22658406,3.64
"12","C03M1CR","C03M1","Cold_rest","10/11/2020",23400230,22744748,0.27
"13","C03M1DT","C03M1","Diet","17/11/2020",46409374,45135530,6.05
"14","C03M1DR","C03M1","Diet Rest","23/11/2020",23509572,22915058,1.85
"15","C03M2OP","C03M2","Optimal","02/10/2020",15850304,15421202,4.02
"16","C03M2HT","C03M2","Heat","19/10/2020",24248866,23674798,3.11
"17","C03M2HR","C03M2","Heat_rest","25/10/2020",30609410,29872824,1.45
"18","C03M2CD","C03M2","Cold","04/11/2020",28700320,28020898,2.56
"19","C03M2CR","C03M2","Cold_rest","10/11/2020",28586310,27995624,0.12
"20","C03M2DT","C03M2","Diet","17/11/2020",30577340,29948332,4.23
"21","C03M2DR","C03M2","Diet Rest","23/11/2020",23286542,22639912,0.85
"22","C03M3OP","C03M3","Optimal","02/10/2020",47000392,46218984,0.75
"23","C03M3HT","C03M3","Heat","19/10/2020",66262414,65366604,4.37
"24","C03M3HR","C03M3","Heat_rest","25/10/2020",48779346,47692802,0.72
"25","C03M3CD","C03M3","Cold","04/11/2020",87332642,85894588,0.99
"26","C03M3CR","C03M3","Cold_rest","10/11/2020",67968396,66679284,0.24
"27","C03M3DT","C03M3","Diet","17/11/2020",51690218,50331672,1.46
"28","C03M3DR","C03M3","Diet Rest","23/11/2020",62331864,61120300,0.4
"29","C03M4OP","C03M4","Optimal","02/10/2020",22219794,21596578,2.64
"30","C03M4HT","C03M4","Heat","19/10/2020",30958916,30309010,5.77
"31","C03M4HR","C03M4","Heat_rest","25/10/2020",23428716,22842068,2.47
"32","C03M4CD","C03M4","Cold","04/11/2020",23890172,23389530,2.53
"33","C03M4CR","C03M4","Cold_rest","10/11/2020",29722626,29131510,0.58
"34","C03M4DT","C03M4","Diet","17/11/2020",243401878,234641708,5.52
"35","C03M4DR","C03M4","Diet Rest","23/11/2020",18082530,17666652,1.85
"36","C03M5OP","C03M5","Optimal","02/10/2020",22224786,21651354,4.12
"37","C03M5HT","C03M5","Heat","19/10/2020",47624580,46064106,1.47
"38","C03M5HR","C03M5","Heat_rest","25/10/2020",19706884,19281828,0.75
"39","C03M5CD","C03M5","Cold","04/11/2020",18579274,18160246,0.44
"40","C03M5CR","C03M5","Cold_rest","10/11/2020",22512266,22079056,0.26
"41","C03M5DT","C03M5","Diet","17/11/2020",25156230,24462812,1.83
"42","C03M5DR","C03M5","Diet Rest","23/11/2020",33685640,32949618,0.83
"43","C04M1OP","C04M1","Optimal","02/10/2020",17612008,17365970,0.65
"44","C04M1HT","C04M1","Heat","19/10/2020",20833196,20613976,0.45
"45","C04M1HR","C04M1","Heat_rest","25/10/2020",23247078,22939344,0.54
"46","C04M1CD","C04M1","Cold","04/11/2020",18673198,18453498,0.59
"47","C04M1CR","C04M1","Cold_rest","10/11/2020",14423558,14292402,1.02
"48","C04M1DT","C04M1","Diet","17/11/2020",17275078,17131554,0.98
"49","C04M1DR","C04M1","Diet Rest","23/11/2020",17625452,17399124,0.68
"50","C04M2OP","C04M2","Optimal","02/10/2020",28190126,27491664,4.88
"51","C04M2HT","C04M2","Heat","19/10/2020",21018968,20608758,0.55
"52","C04M2HR","C04M2","Heat_rest","25/10/2020",42389364,41302938,0.42
"53","C04M2CD","C04M2","Cold","04/11/2020",22136492,21605194,1.42
"54","C04M2CR","C04M2","Cold_rest","10/11/2020",28928014,28298738,2.45
"55","C04M2DT","C04M2","Diet","17/11/2020",24772764,23882148,1.82
"56","C04M2DR","C04M2","Diet Rest","23/11/2020",32503116,31619030,0.91
"57","C04M3OP","C04M3","Optimal","02/10/2020",66719788,65343942,1.11
"58","C04M3HT","C04M3","Heat","19/10/2020",99234832,97102496,1.93
"59","C04M3HR","C04M3","Heat_rest","25/10/2020",64362858,63312716,1.31
"60","C04M3CD","C04M3","Cold","04/11/2020",44880700,44063682,2.62
"61","C04M3CR","C04M3","Cold_rest","10/11/2020",66678300,65325450,1.25
"62","C04M3DT","C04M3","Diet","17/11/2020",66655926,65674012,7.1
"63","C04M3DR","C04M3","Diet Rest","23/11/2020",29778020,29249990,2
"64","C04M4OP","C04M4","Optimal","02/10/2020",17601452,17448638,0.12
"65","C04M4HT","C04M4","Heat","19/10/2020",23774366,23495104,1.91
"66","C04M4HR","C04M4","Heat_rest","25/10/2020",25378770,25088058,0.25
"67","C04M4CD","C04M4","Cold","04/11/2020",23251914,23046996,0.31
"68","C04M4CR","C04M4","Cold_rest","10/11/2020",17624978,17453050,3.23
"69","C04M4DT","C04M4","Diet","17/11/2020",19346628,19150572,0.58
"70","C04M4DR","C04M4","Diet Rest","23/11/2020",31994546,31687972,0.58
"71","C04M5HT","C04M5","Heat","19/10/2020",50311234,49465922,3.11
"72","C04M5HR","C04M5","Heat_rest","25/10/2020",37693196,36910280,2.52
