"","user_genome","D","P","c","o","f","g","s"
"1","A_CDC03_bin.48","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter","Dysosmobacter sp009774015"
"2","A_CDC03_bin.64","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402",""
"3","A_CDC03_bin.78","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Lawsonibacter sp910577805"
"4","A_CDC04_bin.11","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Sporofaciens","Sporofaciens sp910575835"
"5","A_CDC05_bin.30","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Pelethomonas",""
"6","A_CDC05_bin.82","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","14-2","14-2 sp009774455"
"7","A_CDC05_bin.89","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873",""
"9","A_CDC10_bin.13","Bacteria","Firmicutes","Clostridia","Christensenellales","CAG-552","MGBC113161","MGBC113161 sp910587565"
"10","A_CDC10_bin.30","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella sp910589485"
"11","A_CDC10_bin.77","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","CAG-95 sp009917455"
"12","A_CDC12_bin.65","Bacteria","Firmicutes","Clostridia","Christensenellales","Borkfalkiaceae","Coproplasma","Coproplasma sp003979335"
"13","A_CDC13_bin.13","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","UBA3402 sp002358555"
"14","A_CDC13_bin.65","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","Eubacterium_J sp009774535"
"15","A_CRC04_bin.71","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Sporofaciens","Sporofaciens sp910574885"
"16","A_CRC05_bin.32","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","Eubacterium_J sp910579075"
"17","A_CRC05_bin.73","Bacteria","Firmicutes","Clostridia","Christensenellales","CAG-552","MGBC100320","MGBC100320 sp910588305"
"18","A_CRC06_bin.1","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Schaedlerella","Schaedlerella sp000403295"
"19","A_CRC10_bin.19","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","14-2","14-2 sp004793545"
"20","A_CRC10_bin.50","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Kineothrix","Kineothrix sp910588855"
"21","A_CRC11_bin.86","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Lawsonibacter sp910588635"
"22","A_DRC03_bin.13","Bacteria","Firmicutes","Clostridia","Christensenellales","Borkfalkiaceae","Coproplasma","Coproplasma sp013316055"
"23","A_DRC04_bin.49","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Enterenecus","Enterenecus sp910587255"
"24","A_DRC05_bin.59","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella sp910577345"
"25","A_DRC05_bin.77","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp910585665"
"26","A_DRC06_bin.37","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","CAG-873 sp009775265"
"27","A_DRC06_bin.53","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp009774655"
"28","A_DRC13_bin.41","Bacteria","Firmicutes","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris"
"29","A_DTC03_bin.43","Bacteria","Firmicutes","Clostridia","TANB77","CAG-508","RGIG8482",""
"30","A_DTC03_bin.77","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","CAG-873 sp910586975"
"31","A_DTC03_bin.95","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter",""
"32","A_DTC10_bin.36","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp009774655"
"33","A_DTC10_bin.43","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Ventrimonas","Ventrimonas sp910575255"
"34","A_DTC11_bin.12","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter",""
"35","A_DTC11_bin.57","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","14-2","14-2 sp000403315"
"36","A_DTC13_bin.55","Bacteria","Firmicutes","Clostridia","Christensenellales","UBA3700","RACS-045","RACS-045 sp910579785"
"37","A_HRC04_bin.32","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Butyribacter","Butyribacter sp910579085"
"38","A_HRC04_bin.98","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter",""
