"","user_genome","Domain","Phylum","Class","Order","Family","Genus","Species","Completeness","Contamination"
"1","bin_m1.cct123","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","NHYN01","",99.23,0.35
"2","bin_m1.mtb106","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.55,0.05
"3","bin_m1.mtb147","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Kineothrix","",96.29,4.36
"4","bin_m1.mtb2","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","","",89.97,0.88
"5","bin_m1.vmb35","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","",96.43,0.95
"6","bin_m1.vmb46","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD42-69","",95.49,1.69
"7","bin_m10.cct0","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","","","",87.8,0.81
"8","bin_m10.cct151","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",89.81,2.75
"9","bin_m10.cct54_sub","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-267","",91.21,0
"10","bin_m10.cct7_sub","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Rs-D84","Rs-D84","",85.71,1.16
"11","bin_m10.mtb109","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","Paramuribaculum sp001689565",97.55,1.13
"12","bin_m10.mtb12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",91.78,3.02
"13","bin_m10.mtb135","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","",99.43,2.03
"14","bin_m10.mtb158","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-475","",90.83,0.15
"15","bin_m10.mtb180","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",95.8,0.23
"16","bin_m10.mtb18_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",90.66,0.43
"17","bin_m10.mtb200","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","",94.15,0.75
"18","bin_m10.mtb203","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","",75.81,0
"19","bin_m10.mtb248","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",88.71,0
"20","bin_m10.mtb37","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","P3","","",98.39,1.08
